Year,Region,Technology,value
2020,FR,CoalPowerPlant,280.2442349495608
2030,FR,CoalPowerPlant,59.107355975235905
2020,UK,CoalPowerPlant,557.9677684878721
2020,FR,GasPowerPlant,139.7997360236765
2030,FR,GasPowerPlant,42.7350436927504
2040,FR,GasPowerPlant,22.60008369766135
2020,NO,GasPowerPlant,125.79072155821846
2030,NO,GasPowerPlant,606.6179291294344
2040,NO,GasPowerPlant,2.1928907100000004
2020,UK,GasPowerPlant,14.559999999999999
2030,UK,GasPowerPlant,1.1646242649599987
2020,FR,CoalCHPPlant,1299.136760937324
2030,FR,CoalCHPPlant,721.5474437091525
2040,FR,CoalCHPPlant,323.826628893247
2020,DK,CoalCHPPlant,184.66160000000002
2020,UK,CoalCHPPlant,2603.570390411072
2030,UK,CoalCHPPlant,1712.8929449617194
2040,UK,CoalCHPPlant,1094.3066024301802
2020,DE,GasCHPPlant,5641.928906127652
2030,DE,GasCHPPlant,6141.868997005984
2040,DE,GasCHPPlant,3305.2630810796218
2050,DE,GasCHPPlant,12.914122581246492
2020,FR,GasCHPPlant,210.98527957373838
2030,FR,GasCHPPlant,106.94839845975146
2040,FR,GasCHPPlant,63.090908995921765
2020,NO,GasCHPPlant,83.233266740425
2030,NO,GasCHPPlant,81.29748000000002
2040,NO,GasCHPPlant,7.086933451966896
2020,DK,GasCHPPlant,533.5469044989234
2030,DK,GasCHPPlant,310.7225620069471
2040,DK,GasCHPPlant,130.1842446922833
2020,UK,GasCHPPlant,62.06693939965396
2030,UK,GasCHPPlant,108.56773375960003
2040,UK,GasCHPPlant,34.207732442022994
2020,NO,GasPowerPlantCC,72.09867965909643
2030,NO,GasPowerPlantCC,62.95151888243949
2040,NO,GasPowerPlantCC,26.053003166333745
2020,FR,CoalCHPPlantCC,224.72029333963476
2030,FR,CoalCHPPlantCC,144.37800702272753
2040,FR,CoalCHPPlantCC,60.0791114427374
2020,UK,CoalCHPPlantCC,602.4198148407681
2030,UK,CoalCHPPlantCC,383.35546896585896
2040,UK,CoalCHPPlantCC,283.17985432854255
2020,DE,GasCHPPlantCC,159.78947749892174
2030,DE,GasCHPPlantCC,89.09382466509807
2040,DE,GasCHPPlantCC,177.42879415355455
2050,DE,GasCHPPlantCC,283.99014793537333
2020,FR,GasCHPPlantCC,7.8223090996800115
2030,FR,GasCHPPlantCC,36.99870770450131
2040,FR,GasCHPPlantCC,95.48077956763025
2050,FR,GasCHPPlantCC,48.8745848975559
2020,NO,GasCHPPlantCC,57.60223399280683
2030,NO,GasCHPPlantCC,58.57694773067546
2040,NO,GasCHPPlantCC,55.3950387147
2050,NO,GasCHPPlantCC,16.28507972650654
2020,DK,GasCHPPlantCC,68.62430300208665
2030,DK,GasCHPPlantCC,96.01688111148621
2040,DK,GasCHPPlantCC,119.28289853077165
2050,DK,GasCHPPlantCC,44.057804412829796
2020,UK,GasCHPPlantCC,5.595208799285982
2030,UK,GasCHPPlantCC,41.95665585472848
2040,UK,GasCHPPlantCC,134.7665130995009
2050,UK,GasCHPPlantCC,81.59817444648796
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2020,FR,LPGCar,795.5019209718649
2030,FR,LPGCar,1008.8243096712388
2040,FR,LPGCar,1047.4288472669946
2050,FR,LPGCar,12.280085999999992
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,561.8449297496285
2030,UK,LPGCar,821.4129789780003
2040,UK,LPGCar,673.2835117471798
