Year,Region,Technology,value
2020,FR,CoalPowerPlant,253.54447325462675
2030,FR,CoalPowerPlant,43.30065999771862
2020,UK,CoalPowerPlant,546.6212671807787
2020,FR,GasPowerPlant,172.2353947583938
2030,FR,GasPowerPlant,56.798687600742554
2040,FR,GasPowerPlant,30.13244916752913
2020,NO,GasPowerPlant,115.7480532089483
2030,NO,GasPowerPlant,534.9974144271779
2040,NO,GasPowerPlant,2.111950506943119
2020,UK,GasPowerPlant,13.688236492920346
2030,UK,GasPowerPlant,15.956833882000002
2020,FR,CoalCHPPlant,1070.7255160144218
2030,FR,CoalCHPPlant,622.172711547277
2040,FR,CoalCHPPlant,273.5737350076725
2020,DK,CoalCHPPlant,184.66159999999996
2020,UK,CoalCHPPlant,2465.8033819192106
2030,UK,CoalCHPPlant,1615.5184860123763
2040,UK,CoalCHPPlant,1024.8713824586164
2020,DE,GasCHPPlant,7237.274521570406
2030,DE,GasCHPPlant,6245.086666983325
2040,DE,GasCHPPlant,1580.6810070716213
2050,DE,GasCHPPlant,40.25756700000004
2020,FR,GasCHPPlant,276.5086965724482
2030,FR,GasCHPPlant,259.6969598849306
2040,FR,GasCHPPlant,170.49225732964112
2020,NO,GasCHPPlant,180.14614382691485
2030,NO,GasCHPPlant,65.93619007635604
2040,NO,GasCHPPlant,11.712959999999997
2020,DK,GasCHPPlant,536.4845396485798
2030,DK,GasCHPPlant,314.4245687608091
2040,DK,GasCHPPlant,132.18598867528192
2020,UK,GasCHPPlant,99.08660848038747
2030,UK,GasCHPPlant,294.58894849928805
2040,UK,GasCHPPlant,166.20205044269622
2020,NO,GasPowerPlantCC,79.78606477227582
2030,NO,GasPowerPlantCC,62.86751545308832
2040,NO,GasPowerPlantCC,26.744827592753182
2020,FR,CoalCHPPlantCC,244.64639790515938
2030,FR,CoalCHPPlantCC,155.86017481348838
2040,FR,CoalCHPPlantCC,64.62545411744452
2020,UK,CoalCHPPlantCC,623.4336358963152
2030,UK,CoalCHPPlantCC,392.801784482725
2040,UK,CoalCHPPlantCC,290.604221690091
2030,DE,GasCHPPlantCC,78.65114144393168
2040,DE,GasCHPPlantCC,349.8845366028149
2050,DE,GasCHPPlantCC,261.7543306436541
2030,FR,GasCHPPlantCC,20.1732548917571
2040,FR,GasCHPPlantCC,84.22688154419676
2050,FR,GasCHPPlantCC,47.06137651210209
2020,NO,GasCHPPlantCC,41.22782800590568
2030,NO,GasCHPPlantCC,67.65644079027152
2040,NO,GasCHPPlantCC,54.24870565378295
2050,NO,GasCHPPlantCC,17.055520650000005
2020,DK,GasCHPPlantCC,68.33081719793711
2030,DK,GasCHPPlantCC,95.64666181669202
2040,DK,GasCHPPlantCC,119.08272413247174
2050,DK,GasCHPPlantCC,52.289101263482024
2030,UK,GasCHPPlantCC,22.02087860808986
2040,UK,GasCHPPlantCC,121.25931057233096
2050,UK,GasCHPPlantCC,93.13502083780457
2020,DE,LPGCar,1199.8439999999998
2030,DE,LPGCar,1379.8206000000002
2040,DE,LPGCar,1586.7936899999988
2020,FR,LPGCar,805.2028360672609
2030,FR,LPGCar,1008.8243096712389
2040,FR,LPGCar,1048.101222769565
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999995
2040,NO,LPGCar,218.18413237499996
2020,DK,LPGCar,179.97660000000008
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,238.01905349999979
2020,UK,LPGCar,552.1104931483522
2030,UK,LPGCar,821.4129789780003
2040,UK,LPGCar,673.2835117471798
2050,FR,BECCS,-11.552916907042828
